[2025-05-21 14:28:03,247 ] 11 root - INFO - Starting data ingestion
[2025-05-21 14:28:06,379 ] 43 root - INFO - Data exported to feature store at Artifacts/05_21_2025_14_28_03/data_ingestion/feature_store/phisingData.csv
[2025-05-21 14:28:06,384 ] 51 root - INFO - Train and test data split with ratio 0.2
[2025-05-21 14:28:06,558 ] 55 root - INFO - Train and test data exported to Artifacts/05_21_2025_14_28_03/data_ingestion/ingested/train.csv and Artifacts/05_21_2025_14_28_03/data_ingestion/ingested/test.csv
[2025-05-21 14:28:06,562 ] 19 root - INFO - Data ingestion completed successfully
[2025-05-21 14:28:06,575 ] 24 root - INFO - Initiate the data validation
[2025-05-21 14:28:06,575 ] 63 root - INFO - Starting data validation
[2025-05-21 14:28:06,575 ] 64 root - INFO - Data validation config: <networksecurity.entity.config_entity.DataValidationConfig object at 0x7ff2f2f94040>
[2025-05-21 14:28:06,575 ] 65 root - INFO - Data ingestion artifact: DataIngestionArtifact(train_file_path='Artifacts/05_21_2025_14_28_03/data_ingestion/ingested/train.csv', test_file_path='Artifacts/05_21_2025_14_28_03/data_ingestion/ingested/test.csv')
[2025-05-21 14:28:06,649 ] 31 root - INFO - Required Number of columns in the DataFrame: 2
[2025-05-21 14:28:06,649 ] 32 root - INFO - Number of columns in the Dataframe: 32
[2025-05-21 14:28:06,650 ] 31 root - INFO - Required Number of columns in the DataFrame: 2
[2025-05-21 14:28:06,650 ] 32 root - INFO - Number of columns in the Dataframe: 32
[2025-05-21 14:28:07,048 ] 26 root - INFO - Data validation completed
[2025-05-21 14:28:07,049 ] 32 root - INFO - Initiate the data transformation
[2025-05-21 14:28:07,049 ] 38 root - INFO - Data Transformation started
[2025-05-21 14:28:07,129 ] 28 root - INFO - Creating data transformation pipeline
[2025-05-21 14:28:07,129 ] 31 root - INFO - Imputer object created
[2025-05-21 14:28:07,151 ] 57 root - INFO - Data transformation completed
[2025-05-21 14:28:07,153 ] 61 root - INFO - Train and test data transformed
[2025-05-21 14:28:07,159 ] 39 root - INFO - Saving object at: Artifacts/05_21_2025_14_28_03/data_transformation/transformed_object/preprocessor.pkl
[2025-05-21 14:28:07,167 ] 44 root - INFO - Object saved at: Artifacts/05_21_2025_14_28_03/data_transformation/transformed_object/preprocessor.pkl
[2025-05-21 14:28:07,167 ] 74 root - INFO - Data transformation artifact created
[2025-05-21 14:28:07,168 ] 34 root - INFO - Data transformation completed
