[2025-05-21 14:25:27,306 ] 11 root - INFO - Starting data ingestion
[2025-05-21 14:25:35,400 ] 43 root - INFO - Data exported to feature store at Artifacts/05_21_2025_14_25_27/data_ingestion/feature_store/phisingData.csv
[2025-05-21 14:25:35,405 ] 51 root - INFO - Train and test data split with ratio 0.2
[2025-05-21 14:25:35,564 ] 55 root - INFO - Train and test data exported to Artifacts/05_21_2025_14_25_27/data_ingestion/ingested/train.csv and Artifacts/05_21_2025_14_25_27/data_ingestion/ingested/test.csv
[2025-05-21 14:25:35,568 ] 19 root - INFO - Data ingestion completed successfully
[2025-05-21 14:25:35,583 ] 24 root - INFO - Initiate the data validation
[2025-05-21 14:25:35,583 ] 63 root - INFO - Starting data validation
[2025-05-21 14:25:35,584 ] 64 root - INFO - Data validation config: <networksecurity.entity.config_entity.DataValidationConfig object at 0x7f96f8568040>
[2025-05-21 14:25:35,584 ] 65 root - INFO - Data ingestion artifact: DataIngestionArtifact(train_file_path='Artifacts/05_21_2025_14_25_27/data_ingestion/ingested/train.csv', test_file_path='Artifacts/05_21_2025_14_25_27/data_ingestion/ingested/test.csv')
[2025-05-21 14:25:35,651 ] 31 root - INFO - Required Number of columns in the DataFrame: 2
[2025-05-21 14:25:35,651 ] 32 root - INFO - Number of columns in the Dataframe: 32
[2025-05-21 14:25:35,651 ] 31 root - INFO - Required Number of columns in the DataFrame: 2
[2025-05-21 14:25:35,651 ] 32 root - INFO - Number of columns in the Dataframe: 32
[2025-05-21 14:25:36,060 ] 26 root - INFO - Data validation completed
[2025-05-21 14:25:36,061 ] 32 root - INFO - Initiate the data transformation
[2025-05-21 14:25:36,061 ] 38 root - INFO - Data Transformation started
[2025-05-21 14:25:36,130 ] 28 root - INFO - Creating data transformation pipeline
[2025-05-21 14:25:36,131 ] 31 root - INFO - Imputer object created
